Date,Open,High,Low,Close,Volume
2019-01-01,1.14,1.15,1.11,1.13,0
2019-01-02,1.13,1.15,1.11,1.12,0
2019-01-03,1.12,1.15,1.11,1.13,0
2019-01-04,1.13,1.15,1.11,1.14,0
2019-01-07,1.14,1.15,1.11,1.15,0
2019-01-08,1.15,1.15,1.11,1.14,0
2019-01-09,1.14,1.15,1.11,1.13,0
2019-01-10,1.13,1.15,1.11,1.12,0
2019-01-11,1.12,1.15,1.11,1.13,0
2019-01-14,1.13,1.15,1.11,1.14,0
2019-01-15,1.14,1.15,1.11,1.13,0
2019-01-16,1.13,1.15,1.11,1.12,0
2019-01-17,1.12,1.15,1.11,1.13,0
2019-01-18,1.13,1.15,1.11,1.14,0
2019-01-21,1.14,1.15,1.11,1.15,0
2019-01-22,1.15,1.15,1.11,1.14,0
2019-01-23,1.14,1.15,1.11,1.13,0
2019-01-24,1.13,1.15,1.11,1.12,0
2019-01-25,1.12,1.15,1.11,1.13,0
2019-01-28,1.13,1.15,1.11,1.14,0
2019-01-29,1.14,1.15,1.11,1.13,0
2019-01-30,1.13,1.15,1.11,1.12,0
2019-01-31,1.12,1.15,1.11,1.13,0
2019-02-01,1.13,1.15,1.11,1.14,0
2019-02-04,1.14,1.15,1.11,1.15,0
2019-02-05,1.15,1.15,1.11,1.14,0
2019-02-06,1.14,1.15,1.11,1.13,0
2019-02-07,1.13,1.15,1.11,1.12,0
2019-02-08,1.12,1.15,1.11,1.13,0
2019-02-11,1.13,1.15,1.11,1.14,0
